Uid,lg(Indegree rank),lg(Activity),lg(Followers),Cross-domain capability,V-1,V0,V1,V2,V3,male,female
1742566624,0.0,3.5480206949055306,7.250216690270066,7,0,1,0,0,0,1,0
1642591402,0.30102999566398114,3.42586014507784,7.296693352687525,1,0,0,0,0,1,0,1
2482557597,0.47712125471966244,3.7967824117013076,6.7782071260123935,6,0,1,0,0,0,1,0
2709577332,0.6020599913279623,3.281033367247727,6.908763735757602,3,0,1,0,0,0,0,1
3069348215,0.6989700043360187,3.0920184707527967,7.053891657111208,3,0,1,0,0,0,1,0
1768198384,0.7781512503836435,2.0606978403536114,7.0750572464599735,3,0,0,0,1,0,0,1
3099016097,0.8450980400142567,2.796574333210429,7.100938892031218,5,0,1,0,0,0,0,1
1258256457,0.9030899869919434,3.4852954387260886,6.603893831211959,1,0,1,0,0,0,1,0
1713926427,0.9542425094393249,3.060320028688285,7.547993138710429,4,1,0,0,0,0,0,1
1830442653,1.0,3.528531060635411,6.277666963609203,3,0,0,0,1,0,0,1
3229125510,1.041392685158225,2.76417613239033,7.156706274514143,5,0,1,0,0,0,1,0
2891529877,1.0791812460476247,2.7730546933642626,7.167691700637279,5,0,1,0,0,0,1,0
3217179555,1.1139433523068367,2.803457115648414,7.439473240365346,3,0,1,0,0,0,1,0
2803301701,1.1461280356782377,2.852479993636856,7.6912370761210775,7,0,0,0,0,1,1,0
2141823055,1.1760912590556811,2.9898945637187726,6.777263659425352,2,0,1,0,0,0,1,0
1764222885,1.2041199826559246,3.088490470182396,7.417657079935325,3,0,1,0,0,0,1,0
1097201945,1.2304489213782739,3.3147096929551734,7.005239301354645,3,0,1,0,0,0,1,0
2714280233,1.2552725051033058,2.0293837776852093,7.300577768313291,2,0,1,0,0,0,0,1
1757353251,1.2787536009528289,3.1992064791616572,7.053520430208237,1,1,0,0,0,0,1,0
1764442302,1.301029995663981,2.049218022670181,3.938419645793193,3,1,0,0,0,0,0,1
3305085281,1.322219294733919,2.907948521612272,6.651166033016359,5,0,1,0,0,0,1,0
1344386244,1.3424226808222062,2.8419848045901137,6.815749041720192,1,0,1,0,0,0,1,0
3986147355,1.3617278360175928,3.3619166186686433,6.553058540736766,1,0,1,0,0,0,1,0
1195908387,1.380211241711606,3.066698550422995,6.080671573294221,6,0,1,0,0,0,1,0
1788911247,1.3979400086720375,2.6839471307515117,6.881291339061259,2,0,1,0,0,0,1,0
1662214194,1.414973347970818,2.8948696567452523,6.6317843739359095,7,0,1,0,0,0,1,0
3641513235,1.4313637641589871,2.2576785748691846,6.747074263341193,4,0,1,0,0,0,1,0
1740577714,1.447158031342219,3.2276296495710084,6.908043207886168,2,0,1,0,0,0,0,1
3044746573,1.462397997898956,3.3077099234048064,6.739940112849112,2,0,0,0,0,1,0,1
5909185172,1.4771212547196624,1.9138138523837167,6.348018679721409,3,0,1,0,0,0,0,1
2243807243,1.4913616938342726,3.0464951643347082,6.839280967468715,4,0,0,0,0,1,0,1
1909752335,1.5051499783199058,2.287801729930226,4.226960593532453,3,1,0,0,0,0,1,0
2549228714,1.5185139398778873,2.7126497016272113,6.749401346922628,6,0,1,0,0,0,1,0
1886903325,1.5314789170422551,3.236033147117636,6.166372973864321,1,0,0,0,0,1,0,1
2142168143,1.5440680443502754,2.90036712865647,7.042846202601623,4,0,1,0,0,0,0,1
2792589472,1.556302500767287,3.4667193716815983,6.7129984279816375,1,0,1,0,0,0,1,0
1537790411,1.5682017240669948,1.9956351945975497,7.406734411392439,3,0,1,0,0,0,1,0
1583361742,1.57978359661681,3.629511534200453,6.31247207718223,1,0,1,0,0,0,1,0
1314608344,1.591064607026499,3.0906107078284064,7.447758787776109,6,0,0,0,0,1,1,0
1644395354,1.6020599913279623,2.961421094066448,7.223618813601456,2,0,1,0,0,0,1,0
1769684987,1.6127838567197355,3.5878231713189543,6.778811816349213,1,0,0,0,0,1,1,0
3900215081,1.6232492903979003,3.0476641946015595,6.345670674681229,4,0,1,0,0,0,1,0
1742741072,1.6334684555795864,2.0043213737826426,6.890150185017395,1,0,1,0,0,0,1,0
2182038504,1.6434526764861872,2.738780558484369,7.155460598339371,3,0,1,0,0,0,0,1
3167305545,1.6532125137753435,2.7067177823367583,6.634814095601135,2,0,1,0,0,0,1,0
1623886424,1.6627578316815739,3.082066934285113,6.850583322243787,1,0,0,0,0,1,1,0
3177527181,1.6720978579357173,2.9454685851318194,6.58198684303317,3,0,1,0,0,0,1,0
1736315592,1.6812412373755872,1.7993405494535815,6.129240545198825,2,0,1,0,0,0,0,1
1974576991,1.6901960800285134,2.9434945159061026,6.728980418483176,7,0,0,0,0,1,1,0
1993305471,1.6989700043360185,3.276231957921833,6.348315574214953,3,0,1,0,0,0,0,1
1134796120,1.7075701760979363,3.115277591395901,6.473508720739321,4,0,1,0,0,0,0,1
1778181861,1.716003343634799,2.811575005870593,6.194719646649131,2,0,1,0,0,0,0,1
2080114694,1.724275869600789,2.847572659142112,6.398964949285314,2,0,1,0,0,0,0,1
1791867263,1.7323937598229684,3.4852954387260886,6.500931421084492,2,1,0,0,0,0,1,0
1900887504,1.7481880270062005,3.0909630765957314,6.5633381956182975,3,1,0,0,0,0,1,0
1926652273,1.7558748556724912,1.9344984512435675,6.474172395203292,3,0,1,0,0,0,1,0
2904252415,1.7634279935629371,3.049218022670181,6.080520786116994,1,1,0,0,0,0,0,1
5324802169,1.7708520116421442,3.1798389280231865,6.20450389210341,1,0,0,0,1,0,1,0
2723838314,1.7781512503836434,2.1398790864012365,6.342431564027575,1,0,0,0,0,1,0,1
1191965271,1.785329835010767,2.822168079368017,7.091965129368455,3,0,0,0,0,1,1,0
2970036311,1.7923916894982537,2.537819095073274,6.70495159161845,2,0,1,0,0,0,1,0
2057769762,1.7993405494535815,2.8202014594856397,6.731435486173474,1,0,1,0,0,0,1,0
1265020392,1.8061799739838869,2.0530784434834195,7.301066952551897,1,0,1,0,0,0,1,0
2286908003,1.8129133566428552,2.948412965778601,7.552410567794856,7,0,0,0,0,1,1,0
2309846073,1.8195439355418683,3.202215775801131,6.549735424441533,5,0,1,0,0,0,1,0
1886672467,1.8260748027008262,2.8109042806687,5.464010874236126,4,1,0,0,0,0,1,0
1904671130,1.8325089127062362,3.2420442393695503,6.1902961125838925,1,0,0,0,0,1,0,1
2609400635,1.8388490907372552,1.968482948553935,7.2973912147603865,4,0,1,0,0,0,1,0
1615743184,1.845098040014257,3.02612451674545,6.823766399318649,2,0,1,0,0,0,0,1
1679577453,1.851258348719075,1.7075701760979363,6.245788209327004,2,0,1,0,0,0,0,1
2656274875,1.8573324964312683,2.7067177823367583,7.667539046739248,7,0,0,0,0,1,1,0
3460516424,1.8633228601204557,3.0413926851582245,5.866276703170728,1,0,1,0,0,0,1,0
5239450309,1.8692317197309762,2.86569605991607,5.9700580255113005,2,1,0,0,0,0,1,0
2166792032,1.8808135922807911,2.953276336667304,6.344827529064971,3,0,1,0,0,0,0,1
1681672334,1.8864907251724818,2.255272505103306,4.248831192807962,2,1,0,0,0,0,0,1
1197362373,1.8920946026904801,2.1367205671564067,7.039487090382992,1,0,1,0,0,0,1,0
1862364383,1.8976270912904412,1.7993405494535815,6.628024378471754,2,0,1,0,0,0,1,0
5466594184,1.9030899869919433,2.8750612633916997,6.628766448838892,1,0,1,0,0,0,0,1
3948713134,1.9084850188786497,1.9956351945975497,6.780552113383361,2,0,1,0,0,0,1,0
1191258123,1.9138138523837167,1.785329835010767,7.629878160003218,1,0,1,0,0,0,1,0
5239863155,1.919078092376074,3.013679697291192,6.079310791245194,3,0,1,0,0,0,1,0
2706896955,1.9242792860618814,1.8808135922807911,7.294965972400344,2,0,1,0,0,0,1,0
2718604160,1.9294189257142926,2.1553360374650614,7.057015696570629,3,0,1,0,0,0,1,0
1266269835,1.9344984512435675,2.704150516839799,6.513770507158546,1,0,0,0,0,1,1,0
3179974970,1.9395192526186182,3.3228392726863207,6.680762525882666,1,1,0,0,0,0,0,1
1720664360,1.9444826721501687,2.1335389083702174,6.62841560002193,1,0,1,0,0,0,0,1
1654922233,1.9493900066449126,1.1139433523068367,3.044147620878723,1,1,0,0,0,0,0,1
1915441185,1.9542425094393248,1.0791812460476247,2.7520484478194382,1,1,0,0,0,0,1,0
1746580461,1.9590413923210932,2.8549130223078554,6.503144342454567,1,0,1,0,0,0,1,0
1765870915,1.9637878273455551,2.6839471307515117,6.627777524183487,1,0,0,0,0,1,0,1
1241148864,1.968482948553935,2.0569048513364723,7.600833659674581,4,0,1,0,0,0,1,0
1695958733,1.9731278535996983,2.404833716619938,6.386331814731463,5,1,0,0,0,0,0,1
3591355593,1.9777236052888476,1.8692317197309762,7.324580822180191,2,0,1,0,0,0,1,0
2812335943,1.9822712330395682,1.7993405494535815,7.270238706653932,1,0,1,0,0,0,1,0
1789834424,1.9867717342662448,3.021189299069938,7.050147541940151,2,0,1,0,0,0,1,0
1805280571,1.9912260756924949,2.1613680022349744,4.284814097381231,1,1,0,0,0,0,1,0
5350911311,1.9956351945975497,3.3180633349627615,5.787517148729887,1,0,1,0,0,0,1,0
2247164142,2.0,2.531478917042255,6.105811191273892,2,0,1,0,0,0,0,1
5015473540,2.0043213737826426,2.658011396657112,6.6231996539064,1,0,1,0,0,0,0,1
1893660435,2.008600171761917,2.825426117767823,5.456188330853956,1,0,0,0,1,0,0,1
2591595652,2.012837224705172,3.1442627737619904,6.324252609390712,1,0,0,0,0,1,1,0
2855143392,2.0170333392987803,2.5611013836490555,5.966398946691915,1,1,0,0,0,0,0,1
1674242970,2.02530586526477,3.0681858617461617,6.346883194181838,1,1,0,0,0,0,0,1
3774371267,2.0293837776852093,2.9278834103307068,6.7639933314440155,1,0,0,0,0,1,0,1
2289537274,2.0334237554869494,2.620136054973757,6.601816501026322,1,0,1,0,0,0,1,0
3937348351,2.0374264979406234,2.5740312677277184,6.651450631133611,6,0,0,1,0,0,1,0
2305056670,2.041392685158225,2.7817553746524686,6.647036765971945,1,1,0,0,0,0,0,1
1291477752,2.045322978786657,2.0043213737826426,7.532300884053008,3,0,1,0,0,0,1,0
5587568550,2.049218022670181,2.7745169657285493,6.548041228728836,1,0,1,0,0,0,0,1
1774662372,2.0530784434834195,2.322219294733919,6.698939950117982,2,0,1,0,0,0,0,1
1843443790,2.0569048513364723,2.847572659142112,6.768693290872521,1,0,1,0,0,0,1,0
1315706994,2.0606978403536114,2.755112266395071,6.358929536660608,1,0,0,0,0,1,1,0
3630172281,2.064457989226918,3.0784568180532923,6.234061490766386,1,0,1,0,0,0,0,1
1935198185,2.0681858617461617,2.514547752660286,5.232726815133642,5,1,0,0,0,0,0,1
2140227493,2.0718820073061255,2.5575072019056577,6.665078588577128,3,0,1,0,0,0,0,1
2430259303,2.0755469613925306,2.7218106152125463,7.099135808834666,3,0,1,0,0,0,0,1
5990922414,2.0791812460476247,2.775974331129369,4.5294816863783804,1,0,1,0,0,0,0,1
1738932247,2.08278537031645,3.035829825252828,7.391513763085108,2,0,1,0,0,0,1,0
2653906910,2.086359830674748,2.1367205671564067,5.055962859098513,1,1,0,0,0,0,0,1
1985551380,2.0899051114393976,3.1726029312098594,6.627224790406197,1,1,0,0,0,0,1,0
5979631461,2.093421685162235,2.738780558484369,4.875691979829056,1,0,1,0,0,0,1,0
2397991440,2.0969100130080562,3.4508646923797657,5.907752534892666,4,0,1,0,0,0,0,1
3644441127,2.1003705451175625,3.257918450314058,6.638543265852477,1,0,1,0,0,0,0,1
3623353053,2.103803720955957,1.9344984512435675,7.255597211832132,3,0,1,0,0,0,1,0
1878335471,2.107209969647868,3.015778756389041,6.126279828104167,1,0,0,0,0,1,1,0
1886419032,2.110589710299249,2.7347998295888467,6.464964269527994,2,0,1,0,0,0,0,1
2814680487,2.1139433523068365,2.9885589568786153,6.832103552383271,2,0,1,0,0,0,0,1
1895291251,2.117271295655764,2.8095597146352675,6.366152209319943,1,0,1,0,0,0,1,0
5634753105,2.1205739312058496,2.4533183400470375,6.812122354406052,2,0,1,0,0,0,1,0
1847798401,2.123851640967086,2.7242758696007887,6.4578914299228645,1,0,1,0,0,0,1,0
1803310643,2.1271047983648073,2.8241258339165487,6.623758770439097,1,0,0,0,0,1,0,1
3064515967,2.130333768495006,1.7634279935629371,5.923901181914989,1,0,1,0,0,0,1,0
3704673325,2.1335389083702174,3.175801632848279,6.483000853242807,1,0,1,0,0,0,0,1
1771123430,2.1367205671564067,3.027757204690553,6.7102213970792945,1,0,0,0,0,1,1,0
2010226570,2.1398790864012365,1.8195439355418683,6.710695869634117,1,0,1,0,0,0,1,0
1712570933,2.143014800254095,2.1553360374650614,7.2967552202649655,4,0,1,0,0,0,1,0
3645226624,2.1461280356782377,3.0538464268522523,5.836398812998079,1,1,0,0,0,0,1,0
2354644175,2.1522883443830563,2.5943925503754266,6.874523505649521,1,0,1,0,0,0,1,0
1655890975,2.1553360374650614,2.5289167002776547,6.8066103907487845,2,1,0,0,0,0,0,1
1957800054,2.1583624920952493,2.6739419986340875,6.574054429482445,1,0,1,0,0,0,1,0
1639483893,2.1613680022349744,2.8014037100173548,6.49247905384302,1,1,0,0,0,0,1,0
2150511032,2.1643528557844367,2.5340261060561344,6.888744551733528,2,0,1,0,0,0,1,0
6049590367,2.1673173347481756,1.1461280356782377,6.233856734804838,2,0,1,0,0,0,1,0
5984691065,2.170261715394957,2.757396028793024,6.307756322650667,2,1,0,0,0,0,1,0
2214257545,2.173186268412274,1.9294189257142926,6.845755002669357,1,0,1,0,0,0,1,0
2219523390,2.176091259055681,3.3267453795653217,6.768642688320131,1,0,1,0,0,0,0,1
1804549454,2.1789769472931693,1.9242792860618814,6.9757995851886125,1,0,1,0,0,0,1,0
5103645868,2.181843587944772,3.1309766916056168,5.7112849184162595,1,0,1,0,0,0,0,1
1742121542,2.1846914308175984,2.436162647040756,6.976039166107902,1,0,1,0,0,0,1,0
2860640482,2.187520720836463,1.9867717342662448,2.3891660843645326,1,1,0,0,0,0,1,0
3440325930,2.1903316981702914,3.1267805770120085,6.318384135017662,2,0,1,0,0,0,1,0
2141934923,2.1931245983544616,3.1139433523068365,6.114733716787943,2,0,0,0,1,0,0,1
1567852087,2.1958996524092336,3.33344727449675,6.538910257013568,1,0,1,0,0,0,1,0
3125368501,2.1986570869544226,3.0622058088197126,7.044209759383403,1,0,1,0,0,0,0,1
3222817584,2.2013971243204513,2.477121254719662,6.444723982287119,2,0,0,0,0,1,0,1
2054853403,2.2041199826559246,3.1931245983544616,6.269831076797459,1,0,1,0,0,0,0,1
1230697584,2.2068258760318495,2.1461280356782377,3.752816431188271,1,1,0,0,0,0,0,1
2512574061,2.2095150145426303,3.259354927308034,6.553694467943989,1,0,1,0,0,0,0,1
2141334915,2.2121876044039577,2.660865478003869,6.528029860374153,1,0,1,0,0,0,0,1
1642592432,2.214843848047698,2.900913067737669,6.660150199886925,1,0,0,0,0,1,0,1
2132734472,2.217483944213906,2.867467487859051,6.8362188846747625,2,1,0,0,0,0,0,1
2447680824,2.220108088040055,2.683047038238849,6.726385342601609,2,0,1,0,0,0,0,1
1784537661,2.2227164711475833,2.021189299069938,7.686443877091582,1,0,1,0,0,0,1,0
1663088660,2.2253092817258624,3.2335037603411343,6.412990953102341,1,0,0,0,0,1,0,1
3695013654,2.2278867046136734,3.160768561861128,5.8750624215087734,1,0,1,0,0,0,0,1
2068195561,2.2304489213782737,1.9542425094393248,2.691081492122968,1,1,0,0,0,0,1,0
1895964183,2.2329961103921536,2.7067177823367583,6.970545797057657,2,0,1,0,0,0,1,0
2431578944,2.2380461031287955,2.839478047374198,6.412361412810948,2,1,0,0,0,0,0,1
1880047847,2.2405492482825995,3.0170333392987803,5.321995885833155,1,0,1,0,0,0,0,1
2619577243,2.2430380486862944,3.3896975482063856,6.06287066589104,1,0,0,0,1,0,0,1
1816750115,2.2455126678141495,2.7193312869837265,6.439216287309941,1,0,1,0,0,0,1,0
5532648623,2.2479732663618064,2.7916906490201177,4.95161432972651,2,1,0,0,0,0,1,0
5882998192,2.2504200023088936,1.785329835010767,6.392528125832523,2,0,1,0,0,0,0,1
3922774869,2.252853030979893,3.2450188707377525,6.949568616215231,1,0,1,0,0,0,0,1
2091390311,2.255272505103306,2.7678976160180904,6.379323832079519,1,0,1,0,0,0,0,1
1927364167,2.2576785748691846,2.049218022670181,5.612247542760707,1,0,0,0,0,1,0,1
1762098324,2.2600713879850747,2.9138138523837163,5.970684323035804,1,1,0,0,0,0,1,0
5749042654,2.2624510897304293,3.1804126328383235,6.624312938932841,1,0,0,0,1,0,1,0
2835724503,2.2648178230095364,2.170261715394957,6.4993051203734495,2,0,1,0,0,0,1,0
