Uid,Indegree ranklg,Group
2803301701,0.0,Generalist
1642088277,0.30102999566398114,Generalist
1570308924,0.47712125471966244,Generalist
1638782947,0.6020599913279623,Generalist
2656274875,0.6989700043360187,Generalist
1618051664,0.7781512503836435,Generalist
1705180884,0.8450980400142567,Generalist
1742566624,0.9030899869919434,Generalist
1644114654,0.9542425094393249,Generalist
1974576991,1.0,Generalist
5044281310,1.041392685158225,Generalist
1663937380,1.0791812460476247,Generalist
1875034341,1.1139433523068367,Generalist
2258727970,1.1461280356782377,Generalist
2286908003,1.1760912590556811,Generalist
1651428902,1.2041199826559246,Specialist
1885454921,1.2304489213782739,Generalist
2328516855,1.2552725051033058,Generalist
1649173367,1.2787536009528289,Generalist
1640337222,1.301029995663981,Generalist
1662214194,1.322219294733919,Generalist
1891845373,1.3424226808222062,Generalist
2606879860,1.3617278360175928,Specialist
2772291221,1.380211241711606,Generalist
3937348351,1.3979400086720375,Generalist
1887344341,1.414973347970818,Generalist
1784473157,1.4313637641589871,Generalist
2082306984,1.447158031342219,Specialist
1708922835,1.462397997898956,Specialist
1901447125,1.4771212547196624,Specialist
1649159940,1.4913616938342726,Generalist
1698233740,1.5051499783199058,Generalist
1323527941,1.5185139398778873,Generalist
1965628823,1.5314789170422551,Generalist
1642585887,1.5440680443502754,Specialist
1801487174,1.556302500767287,Specialist
1988800805,1.5682017240669948,Specialist
3537136501,1.57978359661681,Generalist
5995014987,1.591064607026499,Specialist
1670421223,1.6020599913279623,Specialist
1803570001,1.6127838567197355,Specialist
3305085281,1.6232492903979003,Generalist
3568562537,1.6334684555795864,Specialist
2309846073,1.6434526764861872,Generalist
1645903643,1.6532125137753435,Specialist
2239792910,1.6627578316815739,Specialist
1654134123,1.6720978579357173,Generalist
3079645245,1.6812412373755872,Specialist
3764674343,1.6901960800285134,Specialist
3908755088,1.6989700043360185,Specialist
2028810631,1.7075701760979363,Generalist
1889213710,1.716003343634799,Specialist
1815418641,1.724275869600789,Generalist
5000609535,1.7323937598229684,Specialist
2539961154,1.7403626894942439,Generalist
1565668374,1.7481880270062005,Specialist
1774800467,1.7558748556724912,Specialist
1642634100,1.7634279935629371,Generalist
1410448443,1.7708520116421442,Specialist
1650111241,1.7781512503836434,Specialist
2119628851,1.785329835010767,Generalist
5590671139,1.7923916894982537,Specialist
1956700750,1.7993405494535815,Generalist
3894844112,1.8061799739838869,Specialist
1712570933,1.8129133566428552,Generalist
2810373291,1.8195439355418683,Generalist
1249424622,1.8260748027008262,Specialist
1069205631,1.8325089127062362,Specialist
1926909715,1.8388490907372552,Specialist
1680685707,1.845098040014257,Specialist
2369080114,1.851258348719075,Specialist
1803278047,1.8573324964312683,Generalist
1699540307,1.8633228601204557,Generalist
1442246695,1.8692317197309762,Generalist
1791283533,1.8750612633916997,Specialist
3464419664,1.8808135922807911,Specialist
1897320685,1.8864907251724818,Specialist
1695958733,1.8920946026904801,Generalist
2087169013,1.8976270912904412,Specialist
5467852665,1.9030899869919433,Generalist
1690076015,1.9084850188786497,Specialist
5051077448,1.9138138523837167,Specialist
1649470535,1.919078092376074,Specialist
1699432410,1.9242792860618814,Generalist
3641513235,1.9294189257142926,Generalist
5340280308,1.9344984512435675,Generalist
1233227211,1.9395192526186182,Specialist
1909253791,1.9444826721501687,Specialist
5794908753,1.9493900066449126,Specialist
1523766213,1.9542425094393248,Specialist
5465809157,1.9590413923210932,Specialist
1664176597,1.9637878273455551,Specialist
1742013781,1.968482948553935,Specialist
6019918741,1.9731278535996983,Generalist
1670458304,1.9777236052888476,Generalist
1847123567,1.9822712330395682,Generalist
2303673483,1.9867717342662448,Specialist
2868676035,1.9912260756924949,Specialist
1935167034,1.9956351945975497,Generalist
1477045392,2.0,Specialist
1314608344,2.0043213737826426,Generalist
2144789105,2.008600171761917,Generalist
1231317854,2.012837224705172,Generalist
1004853823,2.0170333392987803,Specialist
1960785875,2.021189299069938,Generalist
1974945511,2.02530586526477,Specialist
3623353053,2.0293837776852093,Generalist
2611641094,2.0334237554869494,Generalist
2397991440,2.0374264979406234,Generalist
1314637182,2.041392685158225,Specialist
3716243842,2.045322978786657,Generalist
3306279953,2.049218022670181,Generalist
1909752335,2.0530784434834195,Generalist
5394137874,2.0569048513364723,Specialist
1774978073,2.0606978403536114,Specialist
1641561812,2.064457989226918,Specialist
3737972773,2.0681858617461617,Generalist
1735747402,2.0718820073061255,Generalist
1696762051,2.0755469613925306,Specialist
1623404035,2.0791812460476247,Specialist
1076684233,2.08278537031645,Specialist
1642512402,2.086359830674748,Generalist
1660079292,2.0899051114393976,Specialist
3900215081,2.093421685162235,Generalist
1564198397,2.0969100130080562,Specialist
2418724427,2.1003705451175625,Specialist
2736141837,2.103803720955957,Specialist
2462605080,2.107209969647868,Generalist
1653603955,2.110589710299249,Generalist
1905628462,2.1139433523068365,Specialist
2025231343,2.117271295655764,Generalist
2121667213,2.1205739312058496,Specialist
1750070171,2.123851640967086,Generalist
1807715644,2.1271047983648073,Specialist
1068385283,2.130333768495006,Specialist
3394123104,2.1335389083702174,Generalist
1860128420,2.1367205671564067,Specialist
1644458353,2.1398790864012365,Specialist
2123664205,2.143014800254095,Generalist
1726918143,2.1461280356782377,Specialist
2140227493,2.1492191126553797,Generalist
3622512610,2.1522883443830563,Generalist
5182171545,2.1553360374650614,Specialist
1845864154,2.1583624920952493,Generalist
5722634120,2.1613680022349744,Generalist
1926652273,2.1643528557844367,Generalist
1907214345,2.1673173347481756,Specialist
2242603603,2.170261715394957,Specialist
1896820725,2.173186268412274,Specialist
1509681674,2.176091259055681,Specialist
1663072851,2.1789769472931693,Generalist
2288486705,2.181843587944772,Specialist
1888116862,2.1846914308175984,Specialist
1614106000,2.187520720836463,Specialist
3917499594,2.1903316981702914,Generalist
6003448985,2.1931245983544616,Specialist
2382064902,2.1958996524092336,Specialist
2002148123,2.1986570869544226,Generalist
1193725273,2.2013971243204513,Specialist
5053469079,2.2041199826559246,Specialist
2182038504,2.2068258760318495,Generalist
1483330984,2.2095150145426303,Specialist
5033584457,2.2121876044039577,Specialist
3939426052,2.214843848047698,Generalist
1644948230,2.217483944213906,Generalist
1974808274,2.220108088040055,Specialist
1643971635,2.2227164711475833,Generalist
1645823934,2.2253092817258624,Specialist
1154258881,2.2278867046136734,Specialist
5845955894,2.2304489213782737,Generalist
3069348215,2.2329961103921536,Generalist
1793000440,2.2355284469075487,Specialist
1945584665,2.2380461031287955,Specialist
1740522895,2.2405492482825995,Specialist
1814975931,2.2430380486862944,Generalist
1905549057,2.2455126678141495,Specialist
1863185713,2.2479732663618064,Generalist
1749990115,2.2504200023088936,Specialist
1752549400,2.252853030979893,Specialist
2182537064,2.255272505103306,Specialist
3184727490,2.2576785748691846,Specialist
2953903975,2.2600713879850747,Specialist
5311552279,2.2624510897304293,Specialist
2150758415,2.2648178230095364,Generalist
1154814715,2.2671717284030133,Specialist
2626682903,2.2695129442179165,Generalist
1701401324,2.271841606536499,Specialist
1435160552,2.2741578492636796,Specialist
1241148864,2.276461804173244,Generalist
1214074324,2.278753600952829,Specialist
1665808371,2.281033367247727,Generalist
1935084477,2.2833012287035492,Specialist
3937619562,2.2855573090077734,Specialist
1682207150,2.287801729930226,Generalist
1663612603,2.290034611362518,Specialist
5369689139,2.2922560713564755,Specialist
